Scholarship_Name,Sponsoring_Entity,Category,Coverage,Academic_Level,Target_Beneficiaries,Key_Benefits,Application_Window,Typical_Deadline_2025,Official_Application_URL,Official_Info_Source_URL,Notes
Aga Khan Foundation International Scholarship Programme (ISP),Aga Khan Foundation,Foundation/Trust,Abroad (select countries/universities),PG,Outstanding students from select developing countries incl. India,50% grant : 50% loan model; tuition + living support,Cycle usually Jan–Mar,31-Mar-2025,https://the.akdn/en/what-we-do/developing-human-capacity/education/international-scholarships,https://the.akdn/en/what-we-do/developing-human-capacity/education/international-scholarships,Local agencies manage selection; service/return expectations apply.
Foundation for Excellence (FFE) – UG Scholarships (Engg/MBBS/Law),Foundation for Excellence India Trust,Foundation/CSR,India,"UG (B.E./B.Tech, MBBS, Law)","High‑merit, low‑income students entering professional UG programs",Annual support (typ. ₹40–₹80k) through course; mentorship,Typically Jul–Sep,15-Sep-2025,https://ffe.org/scholarships/,https://ffe.org/,Requires entrance‑rank proof and income verification.
Santoor Women’s Scholarship,Wipro Consumer Care & Wipro Cares,Foundation/CSR,"AP, Telangana, Karnataka, Chhattisgarh (expanding)",UG (any stream),Girls from low‑income backgrounds; govt school pass‑outs,"₹24,000 per annum (typically 3 years) + mentorship",Aug–Oct,15-Oct-2025,https://www.santoorscholarships.com/,https://www.santoorscholarships.com/,Preference to rural/backward districts; offline/online forms.
Glow & Lovely Careers Scholarship (Women),Hindustan Unilever Ltd. (Glow & Lovely Careers),Foundation/CSR,India,UG/PG; coaching/skill courses,Women aged ~15–30 pursuing UG/PG or trainings,"Grants up to ~₹50,000; career guidance & courses",Usually Jul–Nov,30-Nov-2025,https://www.glowandlovelycareers.in/en,https://www.britishcouncil.in/study-uk/scholarships/great-scholarships,Rebranded from Fair & Lovely Foundation; check yearly call status.
Sahu Jain Trust – Education Scholarships (Interest‑free loan),Sahu Jain Trust,Foundation/Trust,India,UG/PG (technical/professional),Needy & meritorious students in engineering/IT/medical/MBA etc.,"₹2,500–₹25,000 per year; interest‑free loan scholarships",Typically Jul–Aug,31-Aug-2025,https://sahujaintrust.timesofindia.com/,https://sahujaintrust.timesofindia.com/images/Loan_Scholarship_form.pdf,Apply by post; separate inland & loan scholarships.
FAEA Scholarship (UG),Foundation for Academic Excellence and Access (FAEA),Foundation/Trust,India,UG (all streams),Socio‑economically disadvantaged students (Class 12/1st‑year UG),Tuition + maintenance + other academic expenses,Typically May–Jun,30-Jun-2025,https://www.faeaindia.org/,https://www.faeaindia.org/,Sometimes supported by corporate/Trust partners; selection test/interview.
G. P. Birla Scholarship (WB & Jharkhand),G. P. Birla Educational Foundation,Foundation/Trust,"West Bengal, Jharkhand",UG (all streams),Meritorious students with family income cap,"₹50,000 per year + mentorship",Jun–Jul,15-Jul-2025,https://gpbirlaedufoundation.com/,https://gpbirlaedufoundation.com/scholarship/,Application requires Class 12 marks and admission proof.
HDFC Bank Parivartan’s ECSS Scholarship Programme,HDFC Bank,Foundation/CSR,India,"Class 1–12, Diploma/ITI/Polytechnic, UG/PG",Low‑income students; crisis‑affected preference,"₹15,000–₹75,000 (category‑wise)",Jul–Sep,04-Sep-2025,https://www.hdfcbankecss.com/,https://www.buddy4study.com/article/hdfc-ecss-scholarship,Multiple categories; online application + verification.
Fulbright‑Nehru Master’s Fellowships (India),USIEF / U.S. Department of State,International (Fully‑funded),USA,Master’s,Indian citizens with relevant experience & leadership potential,"Tuition, living, airfare, etc.",Dec–May (for next AY),14-May-2025,https://www.usief.org.in/fulbright-fellowships/fellowships-for-indian-citizen/fulbright-nehru-masters-fellowships/,https://www.usief.org.in/,Field restrictions apply; campus placements by IIE.
Chevening Scholarships (India),UK FCDO (Chevening),International (Fully‑funded),UK,Master’s (1‑year),Indian citizens with ≥2 years work experience,Fees + living + flights + visa; £10k+ fee coverage typical,Aug–Oct,07-Oct-2025 (12:00 UTC),https://www.chevening.org/scholarship/india/,https://www.gov.uk/government/news/applications-open-for-chevening-scholarships-to-study-in-the-uk,Return‑to‑India intent required; leadership essays crucial.
Commonwealth Master’s Scholarships,Commonwealth Scholarship Commission (UK),International (Fully‑funded),UK,Master’s,Nationals of eligible Commonwealth countries incl. India,Full tuition + stipend + travel,Typically Sep–Oct,16-Oct-2025,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/,https://cscuk.fcdo.gov.uk/about-us/scholarships-and-fellowships/,Apply via CSC OAS; MoE India may route nominations when applicable.
Rhodes Scholarship (India),Rhodes Trust,International (Fully‑funded),"University of Oxford, UK",Master’s/Second BA/DPhil (as per Oxford rules),Exceptional Indian students meeting age/eligibility norms,Full funding + stipend + fees + visa/flights,Jun–Jul,23-Jul-2025,https://www.rhodeshouse.ox.ac.uk/scholarships/applications/india/,https://www.rhodeshouse.ox.ac.uk/files/indiainformationforcandidates/,Six awards for India annually; strict age/degree windows.
Erasmus Mundus Joint Masters (EMJM) Scholarships,European Commission (Erasmus+),International (Fully‑funded),EU (multiple universities),Master’s (1–2 years),"Open worldwide incl. India; competitive, course‑wise applications",Tuition + monthly allowance + travel/visa contribution,Varies by programme (Oct–Feb typical),Varies by course,https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-individuals/students/erasmus-mundus-joint-masters,https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-individuals/students/erasmus-mundus-joint-masters,Apply directly to each EMJM; check course catalogue timelines.
DAAD EPOS Scholarships,DAAD – German Academic Exchange Service,International (Fully‑funded),Germany,"Master’s (development‑related), occasionally PhD",Graduates with ≥2 years’ work experience from developing countries incl. India,"Full/partial funding (tuition, stipend, travel)",Usually Aug–Nov (course‑wise),Varies by course,https://www.daad.de/en/information-services-for-higher-education-institutions/further-information-on-daad-programmes/epos/,https://www.daad.de/en/studying-in-germany/scholarships/daad-scholarships/,Apply to programmes listed in EPOS database; deadlines differ.
France Excellence Charpak (Master’s),French Government (Campus France India),International (Part‑funded),France,Master’s,Indian citizens admitted to French institutions,Monthly stipend + fee/visa waivers (as notified),Jan–Mar,31-Mar-2025,https://www.inde.campusfrance.org/charpak-master-s-scholarship,https://www.inde.campusfrance.org/france-excellence-charpak-scholarship-program,Includes sub‑programmes (Master’s/Exchange/Lab).
