Scholarship_Name,Sponsoring_Entity,Category,Coverage,Academic_Level,Target_Beneficiaries,Key_Benefits,Application_Window,Typical_Deadline_2025,Official_Application_URL,Official_Info_Source_URL,Notes
UGC Ishan Uday Special Scholarship Scheme for NER,University Grants Commission (UGC),Government - Central,North Eastern Region (NER),UG (General/Professional),Students from NER,"₹5,400/month (General UG) or ₹7,800/month (Technical/Medical/Paramedical) for 10 months",Jun–Oct via NSP,31-Oct-2025,https://scholarships.gov.in/,https://www.myscheme.gov.in/schemes/iu-sss-ner,"10,000 awards/year; admissible courses & exclusions apply."
UGC PG Indira Gandhi Scholarship for Single Girl Child,UGC,Government - Central,India,PG (non-professional),Single girl child (≤30 years) admitted to 1st-year PG,"₹36,200 per annum for 2 years",Sep–Oct via NSP,31-Oct-2025,https://scholarships.gov.in/,https://www.myscheme.gov.in/schemes/pg-igssgc,No additional grant besides annual scholarship.
Swami Vivekananda Merit Cum Means Scholarship (SVMCM),"Higher Education Dept., Govt. of West Bengal",Government - State,West Bengal,Class 11–PG / Professional,Merit + Means (WB domicile),Monthly stipend varies by level (H.S./UG/PG/Professional),Typically Jul–Nov,30-Nov-2025,https://svmcm.wbhed.gov.in/,https://svmcm.wbhed.gov.in/,Separate track for Kanyashree (K3) meritorious girls.
Kanyashree Prakalpa (K1/K2),"Dept. of Women & Child Development and Social Welfare, Govt. of West Bengal",Government - State,West Bengal,School & Transition to Higher Education,Unmarried girls meeting age/enrolment criteria,"K1: ₹1,000 per year; K2: one-time ₹25,000",Open year-round; institute counters,Rolling,https://www.wbkanyashree.gov.in/,https://www.wbkanyashree.gov.in/,Conditional cash transfer to reduce dropouts/early marriage.
Aikyashree – WBMDFC Minority Scholarships (Pre/ Post/ Merit-cum-Means),West Bengal Minority Development & Finance Corporation,Government - State,West Bengal,Class 1–PhD (various tracks),Minority communities (WB domicile),Tuition/maintenance as per scheme,Aug–Oct,15-Oct-2025,https://www.wbmdfcscholarship.org/,https://www.wbmdfc.org/,Multiple schemes under one portal.
Mukhyamantri Yuva Swavalamban Yojana (MYSY),"Education Dept., Govt. of Gujarat",Government - State,Gujarat,Diploma / UG / Professional,Meritorious students with income cap,Tuition fee support + hostel/book assistance (as per rules),Jul–Oct,31-Oct-2025,https://mysy.guj.nic.in/,https://mysy.guj.nic.in/,
Medhabruti – e-Medhabruti (Higher Education Scholarship),"Higher Education Dept., Govt. of Odisha",Government - State,Odisha,UG / PG / Technical & Professional,Merit + Means (Odisha domicile),Fixed annual stipend by level,Oct–Dec,15-Dec-2025,https://scholarship.odisha.gov.in/,https://scholarship.odisha.gov.in/,
Mukhya Mantri Medhavi Vidyarthi Yojana (MMVY),"Department of Technical Education, Govt. of Madhya Pradesh",Government - State,Madhya Pradesh,UG (Professional/General),Meritorious students crossing rank/score cutoffs,Tuition fee coverage as per rules,Jun–Oct,31-Oct-2025,https://scholarshipportal.mp.nic.in/,https://scholarshipportal.mp.nic.in/,See Gaon Ki Beti & other MP schemes on portal.
UP Scholarship & Fee Reimbursement (Pre/Post-Matric),"Social Welfare Dept., Govt. of Uttar Pradesh",Government - State,Uttar Pradesh,Class 9–PG,SC/ST/OBC/Minority/General (as per tracks),Tuition/maintenance as per track,Jul–Nov,30-Nov-2025,https://scholarship.up.gov.in/,https://scholarship.up.gov.in/,
MahaDBT – Direct Benefit Transfer (Multiple State Scholarships),Govt. of Maharashtra,Government - State,Maharashtra,Pre-matric to PG (multiple departments),SC/ST/OBC/EBC/Minority/SEBC/Open (scheme-specific),Tuition/maintenance as per scheme,Aug–Dec,15-Dec-2025,https://mahadbt.maharashtra.gov.in/,https://mahadbt.maharashtra.gov.in/,"Includes Rajarshi Shahu, Dr. Panjabrao Deshmukh, etc."
State Scholarship Portal (SSP) – Karnataka,Govt. of Karnataka,Government - State,Karnataka,Pre-matric to PG (various dept.),SC/ST/OBC/Minority/EWS/PwD (scheme-specific),Tuition/maintenance as per scheme,Typically Aug–Nov,30-Nov-2025,https://ssp.postmatric.karnataka.gov.in/,https://ssp.karnataka.gov.in/,
Tamil Nadu First Graduate Tuition Fee Concession,"Higher Education Dept., Govt. of Tamil Nadu",Government - State,Tamil Nadu,UG (first graduate in family),First-generation graduates,Tuition fee concession (as per orders),At admission,Institution-specific,https://www.tn.gov.in/scheme/first-graduate-fee-concession,https://www.tn.gov.in/scheme/first-graduate-fee-concession,
Telangana ePASS Scholarships (Pre/Post-Matric; MCM),Govt. of Telangana,Government - State,Telangana,Pre-matric / Post-matric,SC/ST/BC/EBC/Minority students,Tuition & maintenance as per category,Jul–Nov,15-Nov-2025,https://telanganaepass.cgg.gov.in/,https://telanganaepass.cgg.gov.in/,
Jagananna Vidya Deevena & Vasathi Deevena,Govt. of Andhra Pradesh,Government - State,Andhra Pradesh,UG/PG/Professional,Eligible AP students in notified courses,Tuition fee reimbursement + hostel/maintenance support,As notified,Rolling,https://jnanabhumi.ap.gov.in/,https://jnanabhumi.ap.gov.in/,
Delhi State Scholarships (SC/ST/OBC/Minority),"Dept. of SC/ST/OBC Welfare, GNCTD",Government - State,NCT Delhi,Pre-matric to PG,SC/ST/OBC/Minority (scheme-specific),Tuition/maintenance as per scheme,Aug–Nov,31-Oct-2025,https://edistrict.delhigovt.nic.in/,https://scstwelfare.delhi.gov.in/,Refer latest consolidated guidelines each year.
Har-Chhatravratti – Haryana Scholarship Portal,"Higher Education Dept., Govt. of Haryana",Government - State,Haryana,Post-matric & others,SC/BC/EWS/Other eligible categories,Tuition/maintenance as per scheme,Sep–Nov,30-Nov-2025,https://harchhatravratti.highereduhry.ac.in/,https://harchhatravratti.highereduhry.ac.in/,
Jharkhand e-Kalyan Scholarships (Pre/Post-Matric),"Welfare Dept., Govt. of Jharkhand",Government - State,Jharkhand,Pre-matric / Post-matric,SC/ST/OBC (Jharkhand domicile),Tuition/maintenance as per scheme,Aug–Nov,31-Oct-2025,https://ekalyan.cgg.gov.in/,https://ekalyan.cgg.gov.in/,
Bihar Post-Matric Scholarships (SC/ST; BC/EBC),Govt. of Bihar,Government - State,Bihar,Post-matric (Class 11–PG),SC/ST and BC/EBC students,Tuition/maintenance as per rules,Aug–Oct,15-Oct-2025,https://pmsonline.bih.nic.in/,https://pmsonline.bih.nic.in/,
C.H. Muhammed Koya Scholarship (Girls),"Minority Welfare Dept., Govt. of Kerala",Government - State,Kerala,UG/PG/Professional,"Muslim, Latin Christian, Converted Christian girls",Annual stipend as per level,Sep–Nov,15-Nov-2025,https://dcescholarship.kerala.gov.in/,https://dcescholarship.kerala.gov.in/,
Assam Scholarships (DHE/Directorates portal),Govt. of Assam,Government - State,Assam,UG/PG/Research (various),Assam domicile students (scheme-specific),Tuition/maintenance as per scheme,Jul–Nov,31-Oct-2025,https://directorateofhighereducation.assam.gov.in/,https://directorateofhighereducation.assam.gov.in/,
Rajasthan CM Higher Education Scholarship (CMHESS),"Higher Education Dept., Govt. of Rajasthan",Government - State,Rajasthan,UG,Top rankers from RBSE Ajmer (merit + income),"Monthly stipend up to ~₹1,000 (as notified)",Aug–Oct,31-Oct-2025,https://hte.rajasthan.gov.in/scholarship.php,https://www.myscheme.gov.in/schemes/cmhess,Check revised guidelines each year.
Aditya Birla Scholarship (IITs/IIMs/XLRI/BITS/Law),Aditya Birla Group,CSR / Private Trust,India (select institutes),UG (Engineering/Law) & PG (Management),Merit (students from partner institutes),"IIM/XLRI: ₹3,00,000 p.a.; IITs/BITS: ₹1,50,000 p.a.; Law: ₹1,80,000 p.a. or fees at actuals",Aug–Sep,15-Sep-2025,https://www.adityabirlascholars.net/,https://www.adityabirlascholars.net/the-scholarship/eligibility-application-process/,Shortlisting + interviews; tenure as per course.
Reliance Foundation Undergraduate Scholarships,Reliance Foundation,CSR / Foundation,India,UG (all streams),Merit-cum-Means (PAN India),"Up to ₹2,00,000 over program duration + mentoring/alumni network",Aug–Nov,30-Nov-2025,https://www.scholarships.reliancefoundation.org/UG_Scholarship.aspx,https://www.scholarships.reliancefoundation.org/,Aptitude test + documents; results around Dec/Jan.
Siemens Scholarship Program (Engineering),Siemens India,CSR,India (select engineering colleges),UG (Engineering),"Meritorious, low-income; 50% seats for girls","Tuition reimbursement + allowances; internships, training & mentorship",Jul–Sep,15-Sep-2025,https://www.siemens.com/in/en/company/sustainability/corporate-citizenship/siemens-scholarship-program.html,https://www.siemens.com/in/en/company/sustainability/corporate-citizenship/siemens-scholarship-program.html,Annual renewal subject to first-class & clearance of all subjects.
ONGC Foundation Scholarship (SC/ST/OBC/General-EWS),ONGC Foundation,CSR,India,"UG/PG (Engineering, MBBS, MBA, Geology/Geophysics)",SC/ST/OBC/General-EWS (income caps apply),"₹48,000 per annum (₹4,000/month)",Typically Jul–Oct,31-Oct-2025,https://www.ongcfoundation.org/scholarship-scheme/,https://www.ongcfoundation.org/scholarship-scheme/,Stream-wise seat distribution; renewals based on performance.
Kotak Kanya Scholarship,Kotak Education Foundation,CSR / Foundation,India,UG (professional courses),Meritorious girl students with income ceiling,Up to ₹1.5 lakh per year till course completion,Jun–Aug,31-Aug-2025,https://www.kotakeducationfoundation.org/kotak-kanya-scholarship,https://www.buddy4study.com/page/kotak-kanya-scholarship,Shortlisting + interviews.
Tata Capital Pankh Scholarship Programme,Tata Capital,CSR,India,Class 11–PG,Merit-cum-Means (priority to women/SC/ST/PwD),"Support amount varies by level (typically ₹10,000–₹50,000+ p.a.)",Sep–Dec,15-Dec-2025,https://www.tatacapital.com/sustainability/education.html,https://www.tatacapital.com/sustainability/education.html,Runs via partner portal; check current cycle amounts.
LIC HFL Vidyadhan Scholarship,LIC Housing Finance Ltd.,CSR,India,Class 11 / UG / PG,Low-income meritorious students,"Up to ~₹25,000 per year (by level)",Aug–Oct,15-Oct-2025,https://www.buddy4study.com/page/lic-hfl-vidhyadhan-scholarship,https://www.buddy4study.com/article/lic-hfl-vidyadhan-scholarship,Disbursed via DBT to selected students.
Colgate Keep India Smiling Foundational Scholarship,Colgate-Palmolive (India),CSR,India,"Class 11/12, UG, Professional (incl. BDS/MDS)",Merit-cum-Means (various categories),"₹10,000–₹75,000 (varies by category; BDS/MDS up to ₹75,000 one-time)",Aug–Oct,31-Oct-2025,https://www.colgate.com/en-in/smile-karo-aur-shuru-ho-jao/foundation-scholarship,https://www.buddy4study.com/page/keep-india-smiling-foundational-scholarship-programme,Includes mentorship components.
L’Oréal India For Young Women in Science (FYWIS) Scholarship,L’Oréal India,CSR / Foundation,India,UG/PG/PhD (Science/Tech domains; current focus PG/PhD),Women in science streams (income caps apply),"Support towards tuition/expenses; amount varies by level (e.g., UG ~₹62,500; PG/PhD up to ₹1,00,000)",Jan–Feb (varies),05-Feb-2025,https://www.foryoungwomeninscience.co.in/,https://www.loreal.com/en/india/articles/commitments/the-india-for-young-women-in-science-scholarship-programme/,Check the current year’s focus and amounts.
Legrand Empowering Scholarship Program,Group Legrand India,CSR,India,UG (Engineering/Architecture/Science/Commerce/Finance),Girls; special category includes PwD/LGBTQ+/Covid-affected/orphan/single-parent,"General: 60% of fees up to ₹60,000/yr; Special category: 80% up to ₹1,00,000/yr",Apr–May,09-May-2025,https://legrandscholarship.co.in/,https://www.buddy4study.com/page/legrand-empowering-scholarship-program,Shortlisting + telephonic interviews.
Raman Kant Munjal Scholarships,Raman Kant Munjal Foundation (Hero Group),CSR / Foundation,India,UG (Commerce/Finance/Management/Engineering etc.),Merit-cum-Means,"₹40,000–₹5,50,000 per year (up to 3 years)",Apr–Jun,10-Jun-2025,https://www.rkmfoundation.org/Scholarships.aspx,https://www.buddy4study.com/page/raman-kant-munjal-scholarships,Amount based on actual fees; multi-stage selection.
Sitaram Jindal Foundation Scholarship Scheme,Sitaram Jindal Foundation,Private Trust,India,Class 11–PG / ITI / Diploma,Merit-cum-Means (various categories),"₹1,000–₹1,800/month typical (by level/category)",Year-round (often),Rolling,https://www.sitaramjindalfoundation.org/scholarships-for-students-in-bangalore.php,https://www.sitaramjindalfoundation.org/,Physical application common; read category wise slabs.
Generation Google Scholarship (APAC) – Women in CS,Google.org/IIE,Corporate / International (India eligible),APAC (incl. India),UG (CS/related),Women in Computer Science,"USD 2,500 (one-time) + community/mentoring",Varies by year,Closed,https://www.iie.org/programs/generationgoogle/,https://www.buddy4study.com/scholarship/generation-google-scholarship-for-women-in-computer-science,Check APAC India call each year.
Amazon Future Engineer Scholarship (India),Amazon India,CSR / Corporate,India,UG (CSE and related),Girl students and students with disabilities (recent cohorts),"₹2,00,000 over 4 years (₹50,000/yr) + mentorship/internship exposure",Nov–Dec (recent cycle),31-Dec-2025,https://www.amazonfutureengineer.in/scholarship-and-internship,https://www.amazonfutureengineer.in/scholarship-and-internship,Runs with partners; eligibility can vary by cohort.
L&T Build India Scholarship (M.Tech CT&M),Larsen & Toubro,Corporate,India (partner IITs/NITs),PG (M.Tech CT&M),Final-year BE/BTech (Civil/Mechanical etc.),"Full tuition + ₹13,400/month stipend for 24 months; career at L&T",Dec–Feb,12-Mar-2025,https://www.larsentoubro.com/corporate/careers/build-india-scholarship/,https://www.buddy4study.com/scholarship/l-t-build-india-scholarship,Selection includes tests/interviews; bonded service.
"Kotak Junior Scholarship (Class 11–12, Mumbai)",Kotak Education Foundation,CSR / Foundation,Mumbai & suburbs,Class 11–12,"Meritorious, low-income students (Mumbai)","₹3,500 per month for 21 months + mentoring",May–Jul,30-Jun-2025,https://www.buddy4study.com/page/kotak-junior-scholarship,https://www.buddy4study.com/page/kotak-junior-scholarship,
UP (Minority) Post Matric Scholarship,"Minority Welfare Dept., Govt. of Uttar Pradesh",Government - State,Uttar Pradesh,Post-matric (Class 11–PG),Minority communities (UP domicile),Tuition/maintenance as per rules,Jul–Oct,31-Oct-2025,https://scholarship.up.gov.in/,https://scholarship.up.gov.in/,
NTPC Scholarship (SC/ST/PwD – Engineering),NTPC Limited,CSR / PSU,Select states/regions,UG (Engineering),SC/ST/PwD engineering students (2nd year + domicile constraints),"₹1,500 per month during course duration",Jul–Sep,30-Sep-2025,https://www.ntpc.co.in/,https://www.collegedekho.com/ntpc-scholarship-dsp-117,Refer official notification for current year states & quotas.
